filepath,layer,language,frequency
llama3b_5shot_german_czech_predictions.csv,1,ces,1000.0
llama3b_5shot_german_czech_predictions.csv,2,ces,310.11889999999994
llama3b_5shot_german_czech_predictions.csv,2,eng,0.22089999999999999
llama3b_5shot_german_czech_predictions.csv,2,deu,0.0013
llama3b_5shot_german_czech_predictions.csv,3,ces,24.10189999999992
llama3b_5shot_german_czech_predictions.csv,3,eng,0.6476000000000005
llama3b_5shot_german_czech_predictions.csv,3,deu,0.1634
llama3b_5shot_german_czech_predictions.csv,4,ces,7.412399999999999
llama3b_5shot_german_czech_predictions.csv,4,deu,2.929099999999997
llama3b_5shot_german_czech_predictions.csv,4,eng,0.5344000000000003
llama3b_5shot_german_czech_predictions.csv,5,deu,1.6205000000000114
llama3b_5shot_german_czech_predictions.csv,5,ces,1.1303000000000016
llama3b_5shot_german_czech_predictions.csv,5,eng,0.2568000000000002
llama3b_5shot_german_czech_predictions.csv,6,deu,18.76460000000007
llama3b_5shot_german_czech_predictions.csv,6,ces,6.169499999999998
llama3b_5shot_german_czech_predictions.csv,6,eng,0.30689999999999995
llama3b_5shot_german_czech_predictions.csv,7,deu,2.6337000000000024
llama3b_5shot_german_czech_predictions.csv,7,ces,0.8943999999999988
llama3b_5shot_german_czech_predictions.csv,7,eng,0.5990999999999997
llama3b_5shot_german_czech_predictions.csv,9,deu,3.341499999999985
llama3b_5shot_german_czech_predictions.csv,9,ces,0.8269999999999988
llama3b_5shot_german_czech_predictions.csv,9,eng,0.037799999999999986
llama3b_5shot_german_czech_predictions.csv,10,eng,1.0333999999999994
llama3b_5shot_german_czech_predictions.csv,10,deu,0.7109999999999991
llama3b_5shot_german_czech_predictions.csv,10,ces,0.5834000000000004
llama3b_5shot_german_czech_predictions.csv,11,deu,2.261300000000002
llama3b_5shot_german_czech_predictions.csv,11,ces,8.053399999999998
llama3b_5shot_german_czech_predictions.csv,11,eng,4.365999999999998
llama3b_5shot_german_czech_predictions.csv,13,eng,1.4842000000000044
llama3b_5shot_german_czech_predictions.csv,13,deu,1.123600000000001
llama3b_5shot_german_czech_predictions.csv,13,ces,2.191500000000009
llama3b_5shot_german_czech_predictions.csv,14,deu,1.8545000000000154
llama3b_5shot_german_czech_predictions.csv,14,eng,1.059399999999999
llama3b_5shot_german_czech_predictions.csv,14,ces,3.2367999999999957
llama3b_5shot_german_czech_predictions.csv,15,deu,0.42490000000000006
llama3b_5shot_german_czech_predictions.csv,15,eng,8.886299999999986
llama3b_5shot_german_czech_predictions.csv,15,ces,5.093799999999994
llama3b_5shot_german_czech_predictions.csv,16,ces,5.87849999999999
llama3b_5shot_german_czech_predictions.csv,16,eng,60.70500000000017
llama3b_5shot_german_czech_predictions.csv,16,deu,0.8002999999999998
llama3b_5shot_german_czech_predictions.csv,17,eng,111.95059999999984
llama3b_5shot_german_czech_predictions.csv,17,ces,6.6953
llama3b_5shot_german_czech_predictions.csv,17,deu,1.7994999999999997
llama3b_5shot_german_czech_predictions.csv,18,eng,154.12029999999962
llama3b_5shot_german_czech_predictions.csv,18,ces,4.985299999999991
llama3b_5shot_german_czech_predictions.csv,18,deu,2.0248000000000004
llama3b_5shot_german_czech_predictions.csv,19,eng,334.7549000000005
llama3b_5shot_german_czech_predictions.csv,19,ces,8.1319
llama3b_5shot_german_czech_predictions.csv,19,deu,8.5072
llama3b_5shot_german_czech_predictions.csv,20,eng,461.4312999999996
llama3b_5shot_german_czech_predictions.csv,20,deu,8.621699999999993
llama3b_5shot_german_czech_predictions.csv,20,ces,4.278
llama3b_5shot_german_czech_predictions.csv,21,eng,591.3395000000005
llama3b_5shot_german_czech_predictions.csv,21,deu,19.3381
llama3b_5shot_german_czech_predictions.csv,21,ces,5.998000000000002
llama3b_5shot_german_czech_predictions.csv,22,eng,619.3050999999994
llama3b_5shot_german_czech_predictions.csv,22,deu,30.31659999999999
llama3b_5shot_german_czech_predictions.csv,22,ces,13.836800000000006
llama3b_5shot_german_czech_predictions.csv,23,eng,600.5490999999995
llama3b_5shot_german_czech_predictions.csv,23,deu,37.33409999999999
llama3b_5shot_german_czech_predictions.csv,23,ces,17.183400000000002
llama3b_5shot_german_czech_predictions.csv,24,eng,543.4110000000003
llama3b_5shot_german_czech_predictions.csv,24,deu,42.51379999999997
llama3b_5shot_german_czech_predictions.csv,24,ces,26.47230000000001
llama3b_5shot_german_czech_predictions.csv,25,eng,430.35399999999976
llama3b_5shot_german_czech_predictions.csv,25,ces,56.52590000000009
llama3b_5shot_german_czech_predictions.csv,25,deu,52.11660000000001
llama3b_5shot_german_czech_predictions.csv,26,ces,155.0277000000003
llama3b_5shot_german_czech_predictions.csv,26,eng,311.35849999999965
llama3b_5shot_german_czech_predictions.csv,26,deu,60.16940000000003
llama3b_5shot_german_czech_predictions.csv,27,ces,343.50949999999887
llama3b_5shot_german_czech_predictions.csv,27,deu,87.85290000000003
llama3b_5shot_german_czech_predictions.csv,27,eng,117.74620000000021
llama3b_5shot_german_czech_predictions.csv,28,ces,423.839700000001
llama3b_5shot_german_czech_predictions.csv,28,eng,35.51829999999998
